Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2012061	5.5	2.388334	1.19	0.415378855	0	0	1.19	0.415378855	81	390	1.19	3.496139254	2.807440923	10	1	-999	-999
2012061	6	1.801667	0.842	0.400420422	0	0	0.842	0.400420422	81	390	0.842	3.340578771	2.808076471	10	1	-999	-999
2012061	6.5	1.508333	0.348	0.379737584	0	9.12	0.348	0.379737584	81	390	0.348	3.1166835	2.808585334	10	1	-999	-999
2012061	7	1.401667	0.225	0.372157121	0	107.616	0.225	0.372157121	81	390	0.225	3.067354144	2.809150483	10	1	-999	-999
2012061	7.5	2.198333	1.41	0.416800254	0	279.072	1.41	0.416800254	81	390	1.41	3.632863646	2.809977246	10	1	-999	-999
2012061	8	3	2.465	0.461297063	0	489.744	2.465	0.461297063	81	390	2.465	4.137831018	2.810905931	10	1	-999	-999
2012061	8.5	3.691667	3.042	0.487314324	0	766.992	3.042	0.487314324	81	390	3.042	4.418102416	2.811760633	10	1	-999	-999
2012061	9	2.666667	4.208	0.537857209	0	875.52	4.208	0.537857209	81	390	4.208	4.975661665	2.812719204	10	1	-999	-999
2012061	9.5	2.828333	4.295	0.542726618	0	696.768	4.295	0.542726618	81	390	4.295	5.025458913	2.813589023	10	1	-999	-999
2012061	10	2.22	4.602	0.553017041	0	870.048	4.602	0.553017041	81	390	4.602	5.177748066	2.814397521	10	1	-999	-999
2012061	10.5	2.726667	4.885	0.572829528	0	901.056	4.885	0.572829528	81	390	4.885	5.318299778	2.815075364	10	1	-999	-999
2012061	11	3.77	5.305	0.596750323	0	815.328	5.305	0.596750323	81	390	5.305	5.523341338	2.815628632	10	1	-999	-999
2012061	11.5	3.03	5.247	0.595071784	0	803.472	5.247	0.595071784	81	390	5.247	5.503464726	2.816207626	10	1	-999	-999
2012061	12	3.396667	6.237	0.646332518	0	1262.208	6.237	0.646332518	81	390	6.237	5.97609663	2.816746801	10	1	-999	-999
2012061	12.5	3.515	7.325	0.706548251	0	1502.976	7.325	0.706548251	81	390	7.325	6.49504987	2.817409069	10	1	-999	-999
2012061	13	3.851667	8.06	0.758619322	0	1544.016	8.06	0.758619322	81	390	8.06	6.847709492	2.818079588	10	1	-999	-999
2012061	13.5	4.748334	8.57	0.81184066	0	1582.32	8.57	0.81184066	81	390	8.57	7.093900124	2.818737704	10	1	-999	-999
2012061	14	4.568334	9.28	0.856203138	0	1478.352	9.28	0.856203138	81	390	9.28	7.434307428	2.819611903	10	1	-999	-999
2012061	14.5	4.446668	9.09	0.850681672	0	1093.488	9.09	0.850681672	81	390	9.09	7.351097972	2.820457209	10	1	-999	-999
2012061	15	4.243333	9	0.831224785	0	1207.488	9	0.831224785	81	390	9	7.31474137	2.821330677	10	1	-999	-999
2012061	15.5	5.704999	8.04	0.789732731	0	464.208	8.04	0.789732731	81	390	8.04	6.868858615	2.822024854	10	1	-999	-999
2012061	16	3.818333	6.668	0.678282681	0	581.856	6.668	0.678282681	81	390	6.668	6.227023937	2.822512485	10	1	-999	-999
2012061	16.5	3.81	6.707	0.68190948	0	261.744	6.707	0.68190948	81	390	6.707	6.24755834	2.823023561	10	1	-999	-999
2012061	17	3.498333	5.938	0.618437937	0	188.784	5.938	0.618437937	81	390	5.938	5.888775007	2.823581359	10	1	-999	-999
2012061	17.5	2.923333	5.085	0.554148513	0	94.848	5.085	0.554148513	81	390	5.085	5.491192831	2.824147935	10	1	-999	-999
2012061	18	3.569999	3.263	0.407969069	0	13.68	3.263	0.407969069	81	390	3.263	4.639109089	2.824573634	10	1	-999	-999
2012061	18.5	3.248334	2.138	0.344810582	0	-0.912	2.138	0.344810582	81	390	2.138	4.114073248	2.824735458	10	1	-999	-999
2012061	19	4.411666	1.705	0.329377259	0	0	1.705	0.329377259	81	390	1.705	3.914263663	2.824876847	10	1	-999	-999
2012061	19.5	4.103333	1.038	0.295897931	0	0	1.038	0.295897931	81	390	1.038	3.603945357	2.824951271	10	1	-999	-999
2012061	20	5.345001	0.193	0.296902607	0	-0.912	0.193	0.296902607	81	390	0.193	3.209475938	2.824970298	10	1	-999	-999
2012061	20.5	4.29	-0.275	0.324324289	0	0	-0.275	0.324324289	81	390	-0.275	2.992287776	2.824889442	10	1	-999	-999
2012061	21	4.073333	-0.222	0.350047725	0	0	-0.222	0.350047725	81	390	-0.222	3.019385395	2.824752737	10	1	-999	-999
2012061	21.5	3.818333	-0.008	0.381679157	0	0	-0.008	0.381679157	81	390	-0.008	3.122693664	2.824635589	10	1	-999	-999
2012061	22	3.221667	-0.492	0.370931425	0	-0.912	-0.492	0.370931425	81	390	-0.492	2.898093618	2.824432297	10	1	-999	-999
2012061	22.5	4.271667	-0.95	0.371394059	0	-1.824	-0.95	0.371394059	81	390	-0.95	2.686596513	2.824204512	10	1	-999	-999
2012061	23	3.786667	-1.442	0.358087329	0	0	-1.442	0.358087329	81	390	-1.442	2.459233162	2.824273009	10	1	-999	-999
2012061	23.5	3.331666	-1.605	0.384602346	0	-0.912	-1.605	0.384602346	81	390	-1.605	2.386235112	2.82434063	10	1	-999	-999
2012062	0	2.858333	-1.805	0.392780933	0	0	-1.805	0.392780933	81	390	-1.805	2.296078729	2.82442589	10	1	-999	-999
2012062	0.5	3.251667	-2.073	0.386305481	0	-1.824	-2.073	0.386305481	81	390	-2.073	2.173614283	2.824509413	10	1	-999	-999
2012062	1	1.153334	-3.032	0.347322002	0	-1.824	-3.032	0.347322002	81	390	-3.032	1.725390109	2.824510717	10	1	-999	-999
2012062	1.5	1.245	-3.812	0.296043485	0	0	-3.812	0.296043485	81	390	-3.812	1.360729735	2.82422226	10	1	-999	-999
2012062	2	1.02	-3.793	0.265369624	0	0	-3.793	0.265369624	81	390	-3.793	1.371589143	2.823701018	10	1	-999	-999
2012062	2.5	0.89	-3.692	0.244310215	0	0	-3.692	0.244310215	81	390	-3.692	1.421275781	2.823254127	10	1	-999	-999
2012062	3	1.198333	-3.603	0.241021671	0	0	-3.603	0.241021671	81	390	-3.603	1.465439723	2.822863357	10	1	-999	-999
2012062	3.5	1.136667	-3.635	0.240424862	0	0	-3.635	0.240424862	81	390	-3.635	1.452483609	2.82232126	10	1	-999	-999
2012062	4	0.835	-4.032	0.223075421	0	0	-4.032	0.223075421	81	390	-4.032	1.267335301	2.821755661	10	1	-999	-999
2012062	4.5	1.43	-3.95	0.223083656	0	0	-3.95	0.223083656	81	390	-3.95	1.307127681	2.821644364	10	1	-999	-999
2012062	5	1.598334	-3.63	0.232273129	0	0	-3.63	0.232273129	81	390	-3.63	1.459201485	2.82172454	10	1	-999	-999
2012062	5.5	2.43	-4.383	0.151283985	0	0	-4.383	0.151283985	81	390	-4.383	1.10683552	2.821641582	10	1	-999	-999
2012062	6	1.983333	-5.26	0.060931564	0	0	-5.26	0.060931564	81	390	-5.26	0.696130826	2.821440489	10	1	-999	-999
2012062	6.5	1.528333	-4.845	0.08005517	0	5.472	-4.845	0.08005517	81	390	-4.845	0.892989166	2.821487207	10	1	-999	-999
2012062	7	1.828333	-4.937	0.095800105	0	31.008	-4.937	0.095800105	81	390	-4.937	0.851132382	2.821560176	10	1	-999	-999
2012062	7.5	2.178333	-5.082	0.050639251	0	158.688	-5.082	0.050639251	81	390	-5.082	0.782623358	2.821658301	10	1	-999	-999
2012062	8	2.86	-5.09	0.047091797	0	330.144	-5.09	0.047091797	81	390	-5.09	0.775836963	2.821558298	10	1	-999	-999
2012062	8.5	2.363333	-3.667	0.056504303	0	601.92	-3.667	0.056504303	81	390	-3.667	1.441588963	2.82140396	10	1	-999	-999
2012062	9	2.891667	-2.23	0.158865115	0	611.04	-2.23	0.158865115	81	390	-2.23	2.115152218	2.821312198	10	1	-999	-999
2012062	9.5	3.1	-1.76	0.233628846	0	1210.224	-1.76	0.233628846	81	390	-1.76	2.333492492	2.82118205	10	1	-999	-999
2012062	10	2.17	-0.905	0.26357031	1.016	1087.104	-0.905	0.26357031	81	390	-0.905	2.731816639	2.820937338	10	1	-999	-999
2012062	10.5	2.955	-1.878	0.261355133	0.254	1253.088	-1.878	0.261355133	81	390	-1.878	2.269199393	2.820360695	10	1	-999	-999
2012062	11	3.321666	-1.423	0.300209914	0	1636.128	-1.423	0.300209914	81	390	-1.423	2.477493687	2.819758491	10	1	-999	-999
2012062	11.5	2.528333	-1.423	0.256127045	0	1517.568	-1.423	0.256127045	81	390	-1.423	2.471384658	2.819121538	10	1	-999	-999
2012062	12	2.753334	-1.317	0.234101736	0	1792.08	-1.317	0.234101736	81	390	-1.317	2.514492416	2.818385353	10	1	-999	-999
2012062	12.5	2.638334	-0.38	0.299634698	0	1712.736	-0.38	0.299634698	81	390	-0.38	2.949050808	2.817742957	10	1	-999	-999
2012062	13	2.288333	0.547	0.355128049	0	1548.576	0.547	0.355128049	81	390	0.547	3.379123111	2.817200948	10	1	-999	-999
2012062	13.5	2.981667	1.055	0.380090672	0	1607.856	1.055	0.380090672	81	390	1.055	3.611422824	2.816617242	10	1	-999	-999
