Geno,Treatment,Tray,Rep,SWC,SWC_adjust,DOY,Water_timing
CC,D1,NA,NA,22.3,32.2,131,PD
R500,D1,NA,NA,22.35,32.25,134,PD
CC,D2,3,1,22.4,32.3,133,post
R500,WW,1,1,22.4,32.3,137,pre
R500,D2,2,2,22.4,32.3,139,pre
CC,WW,1,3,22.5,32.4,130,pre
R500,D2,3,2,22.5,32.4,139,pre
CC,WW,NA,NA,22.55,32.45,133,MD
R500,WW,1,3,22.6,32.5,128,pre
R500,WW,2,3,22.6,32.5,128,pre
CC,WW,1,1,22.6,32.5,131,pre
CC,D2,2,2,22.6,32.5,132,pre
R500,D1,3,3,22.6,32.5,133,post
CC,D2,3,2,22.6,32.5,133,post
CC,WW,NA,2,22.6,32.5,137,pre
R500,D2,1,1,22.6,32.5,138,post
R500,D2,NA,NA,22.65,32.55,140,PD
CC,D1,1,2,22.7,32.6,129,post
R500,D1,1,1,22.7,32.6,130,pre
CC,WW,1,1,22.7,32.6,130,pre
CC,D2,1,3,22.7,32.6,132,pre
R500,D1,NA,NA,22.8,32.7,134,PD
CC,D1,NA,NA,22.8,32.7,131,PD
R500,WW,1,1,22.8,32.7,128,pre
CC,D1,3,1,22.8,32.7,128,NA
CC,WW,2,2,22.8,32.7,131,pre
CC,WW,1,2,22.9,32.8,130,pre
CC,D1,NA,NA,22.95,32.85,136,Recovery
CC,D1,3,2,23,32.9,128,NA
CC,WW,1,1,23,32.9,129,post
R500,D1,1,3,23,32.9,131,pre
R500,D1,2,2,23,32.9,132,pre
CC,D1,1,2,23.1,33,128,NA
CC,D1,3,3,23.1,33,128,NA
CC,D1,1,1,23.2,33.1,128,NA
CC,D1,1,2,23.2,33.1,130,pre
CC,D2,3,1,23.2,33.1,137,recovery
R500,D1,NA,NA,23.2,33.1,134,MD
R500,D1,NA,NA,23.3,33.2,134,PD
CC,D2,1,1,23.3,33.2,128,pre
CC,D2,2,3,23.3,33.2,132,pre
CC,D2,2,3,23.4,33.3,131,pre
R500,D1,2,1,23.4,33.3,132,pre
R500,D2,3,3,23.4,33.3,135,pre
R500,D1,1,3,23.5,33.4,128,pre
CC,D2,3,2,23.5,33.4,128,pre
CC,D2,3,3,23.5,33.4,130,pre
R500,WW,2,1,23.6,33.5,128,pre
CC,WW,1,3,23.6,33.5,128,pre
R500,D2,2,1,23.6,33.5,130,pre
