"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol m-2 s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol m-2 s-1)","GPP (mmol m-2 s-1)","SMshall","SMdeep","SMrock","RHIZFshall (mmol m-2 s-1)","RHIZFdeep (mmol m-2 s-1)","RHIZFrock (mmol m-2 s-1)","FinRootCshall (gC m-2 grd)","FinRootCdeep (gC m-2 grd)","FinRootCrock (gC m-2 grd)","MicrobNshall (gN m-2 grd)","MicrobNdeep (gN m-2 grd)","MicrobNrock (gN m-2 grd)","LitterNshall (gN m-2 grd)","LitterNdeep (gN m-2 grd)","LitterNrock (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","RLA (m2 m-2)","RA shall (m2 m-2","RA deep (m2 m-2)","RA rock (m2 m-2)"
"52",52,1.59627308227853,73.15014,-4.7119475,-4.8499375,-6.7719025,2.23200166666667,28.51255,54.15145,385.24525,31.191625,0.309151410416667,3.37567619720157,0.176113840994202,0.176523833333333,0.309482192932889,0.023204571875,0.039266764,0.233879208333333,24.0707497916667,22.7343858333333,5.16746358582771,3.689633125,4.94927770833333,2.519448125,1.378767875,2.67237125,0.7770673125,1.42354625,2.12652,1.94766958333333,0.375324270833333,0.511947979166667,0.112727804791667
"53",53,2.33091156196485,73.40572,-4.7856625,-5.0443,-6.8528925,2.16112145833333,28.65735,54.436225,385.7005,21.56835,0.3223003575,2.7154358263148,0.17576967963751,0.1763216875,0.30948079500797,0.0137053641666667,0.0323744503333333,0.262212036666667,24.1030685416667,22.73802625,5.17533492537979,3.678096875,4.93043916666667,2.52222395833333,1.33930545833333,2.61250458333333,0.593033475,1.4299625,2.12652,1.948750625,0.3755240625,0.511712645833333,0.112763153541667
"54",54,2.50387458313747,73.87546,-4.8938575,-5.1241575,-6.7532275,2.09305333333333,28.4133,54.5367,386.2365,18.080025,0.310550957083333,2.51434485783119,0.175492620268665,0.176090729166667,0.309478917795467,0.00660276935416667,0.02867382125,0.261157801458333,24.1192783333333,22.7376660416667,5.17943289449812,3.66825666666667,4.91170479166667,2.514153125,1.2973638125,2.55424541666667,0.494075584583333,1.43759666666667,2.12652,1.94926270833333,0.375637270833333,0.511577479166667,0.112785205833333
"55",55,1.37876195276162,74.5081,-4.97678,-5.1115375,-6.4156575,2.032639375,28.36485,54.474875,386.764,24.669525,0.272047199833333,2.92408489771093,0.175248428012373,0.175861666666667,0.309477390783616,0.00855900295833333,0.0297309096041667,0.230962957458333,24.134301875,22.7370585416667,5.1834860720275,3.65789333333333,4.89269291666667,2.49473291666667,1.25920835416667,2.497725625,0.485147323333333,1.44289479166667,2.12652,1.94972375,0.375739916666667,0.511451729166667,0.112808385
"56",56,1.99916916243236,74.2907,-4.9908575,-5.29915,-6.650355,2.01050895833333,28.258875,54.44425,387.16925,19.85835,0.310984179375,2.46636422760071,0.175208227268087,0.175743729166667,0.309475685873222,0.0096582725,0.0229228958333333,0.268357819583333,24.1554058333333,22.737618125,5.18890551371667,3.64839645833333,4.87415416666667,2.47546479166667,1.22127389583333,2.44291104166667,0.480621374,1.452458125,2.12652,1.950410625,0.375880791666667,0.5112826875,0.112836556875
"57",57,2.52569934025415,74.67006,-5.1539475,-5.2562075,-6.90655,1.91290458333333,28.046125,54.369325,387.57275,16.2141,0.281259948125,2.45506477834269,0.174717305712647,0.175433354166667,0.309474114306623,0.0164352352291667,0.0468913839583333,0.216526653333333,24.1616022916667,22.735148125,5.19155451170833,3.64145416666667,4.855735625,2.456818125,1.17983047916667,2.38942541666667,0.476385846760417,1.45973875,2.12680729166667,1.950601875,0.375934833333333,0.511206,0.112859152291667
"58",58,2.20893219810243,75.04534,-5.22687,-5.375105,-6.856195,1.84422666666667,26.68245,53.566675,387.88825,17.422125,0.210697430666667,2.34529536962104,0.174527093166314,0.175185729166667,0.309472668322328,-0.00210271466666667,0.0251261715833333,0.17228571475,24.1667002083333,22.7323079166667,5.19407205064812,3.63367375,4.83697291666667,2.43845541666667,1.14302264583333,2.33735395833333,0.472193152272917,1.45065833333333,2.14031,1.938180625,0.375981270833333,0.5111365,0.112882285833333
"59",59,1.37460528609937,74.91154,-5.1923075,-5.3907675,-6.7438625,1.862293125,27.218225,53.049675,388.01225,27.05625,0.244217107791667,3.08112691316999,0.174776011400122,0.175112541666667,0.309471455287801,-0.0105981118333333,-0.00437406670833333,0.231626433333333,24.1821052083333,22.7320675,5.19939211814167,3.62145729166667,4.81755333333333,2.42043604166667,1.11769089583333,2.28684125,0.468000122833333,1.46172125,2.14031,1.93868125,0.376077958333333,0.511004041666667,0.112917954791667
"60",60,1.25746781682665,74.80914,-5.118415,-5.3427025,-6.55487,1.91107229166667,27.8524,53.176875,387.94175,27.55855,0.231633733333333,3.02587051526195,0.175065164535895,0.175232520833333,0.309470451408287,-0.01033677375,-0.0181102333333333,0.2337448625,24.21623875,22.737215625,5.21029995034667,3.60827291666667,4.79909541666667,2.403328125,1.09574714583333,2.237896875,0.463796108579167,1.47371166666667,2.140401875,1.93989333333333,0.376267604166667,0.510751416666667,0.112980948541667
"61",61,1.35481347481913,74.84278,-5.0809,-5.305355,-6.5073675,1.93606520833333,27.85195,53.2524,387.88125,25.47955,0.246708197916667,3.15669779828157,0.175198993610299,0.175315604166667,0.309469979883084,-0.00164556583333333,-0.0160804104166667,0.2459552,24.2552602083333,22.74435625,5.22340197171062,3.59480416666667,4.78178791666667,2.3872885,1.07548058333333,2.19039520833333,0.459571397866667,1.476970625,2.14496583333333,1.93734104166667,0.376475375,0.5104661875,0.113058502083333
