"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol m-2 s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol m-2 s-1)","GPP (mmol m-2 s-1)","SMshall","SMdeep","SMrock","RHIZFshall (mmol m-2 s-1)","RHIZFdeep (mmol m-2 s-1)","RHIZFrock (mmol m-2 s-1)","FinRootCshall (gC m-2 grd)","FinRootCdeep (gC m-2 grd)","FinRootCrock (gC m-2 grd)","MicrobNshall (gN m-2 grd)","MicrobNdeep (gN m-2 grd)","MicrobNrock (gN m-2 grd)","LitterNshall (gN m-2 grd)","LitterNdeep (gN m-2 grd)","LitterNrock (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","RLA (m2 m-2)","RA shall (m2 m-2","RA deep (m2 m-2)","RA rock (m2 m-2)"
"110",110,3.1538336208048,84.5374,-2.6872975,-2.9212925,-3.568145,0.481710145833333,20.824125,34.381075,312.603,3.9223425,0.0823321539583333,1.09764002038927,0.184099733149976,0.184816604166667,0.309489382226049,0.000158869395833334,0.00450162285833333,0.0755602885833333,22.8746825,22.1876835416667,5.16317118761542,3.22019104166667,4.02140520833333,2.06258608333333,0.5065131875,0.8941711875,0.250188491375,1.573955625,2.333253125,1.7393175,0.368898958333333,0.516004104166667,0.115096868125
"111",111,3.87044543566106,85.43956,-2.68763,-2.890595,-3.549685,0.478398958333333,20.28865,34.22865,311.0635,2.7490025,0.0769827035416667,0.579326255112861,0.184118975630724,0.184789270833333,0.309488116824084,-0.00136431581875,0.0023814448125,0.0728598220833333,22.85106125,22.1707327083333,5.16022056911958,3.22255979166667,4.012830625,2.07038222916667,0.496739270833333,0.880007916666667,0.245829812429167,1.59995458333333,2.33494041666667,1.73724208333333,0.368812666666667,0.516065875,0.115121590416667
"112",112,3.74413737744619,85.39156,-2.6914875,-2.889935,-3.60358,0.476545541666667,19.34875,33.8555,309.58525,2.97519,0.0802456333333333,0.628929273152467,0.184122436107049,0.184765916666667,0.309486782930255,0.000501612645833333,0.003486461875,0.0730387175,22.8258139583333,22.1530089583333,5.15669744539771,3.22533333333333,4.00424666666667,2.07931639583333,0.486990625,0.865968020833333,0.241438514327083,1.58537604166667,2.34115645833333,1.73164083333333,0.368718854166667,0.516137854166667,0.115143285416667
"113",113,4.06805987513924,85.50784,-2.6935,-2.891925,-3.563785,0.4750026875,18.821025,33.386825,308.11,2.50696,0.0720230825,0.539808528593064,0.184125532108318,0.184746104166667,0.30948545473952,-0.000690352604166667,0.00163602152083333,0.0678686020833333,22.8001779166667,22.13502625,5.15310702982292,3.22899666666667,3.99510145833333,2.08744533333333,0.477120145833333,0.852043458333333,0.2370151021125,1.5825725,2.34526625,1.72760958333333,0.368623645833333,0.5162111875,0.115165169166667
"114",114,2.14755667680162,85.44276,-2.690025,-2.88869,-3.5859075,0.4745945625,18.8581,32.921875,306.52675,5.4845025,0.0803066140208333,1.18364112704593,0.184131943475763,0.184736666666667,0.30948418669095,0.00205027658333333,0.00268397939583333,0.0734797420833333,22.7760604166667,22.1172289583333,5.14986786823104,3.231441875,3.98704416666667,2.09737579166667,0.468101083333333,0.83826725,0.232572804710417,1.60845625,2.34746479166667,1.72504708333333,0.368536979166667,0.5162744375,0.115188621458333
"115",115,3.07623562333898,85.5607,-2.698785,-2.9027075,-3.565365,0.471373270833333,19.10565,32.5921,304.8915,3.6267375,0.0761199230416667,0.861349099268425,0.184078707024955,0.184713625,0.309482951946885,3.21036666666666e-05,0.00184732229166667,0.0722414060416667,22.7533972916667,22.0995733333333,5.14692620997792,3.23196375,3.98011291666667,2.10944608333333,0.460227708333333,0.824677395833333,0.228123430014583,1.62938208333333,2.34864333333333,1.72329291666667,0.368460166666667,0.5163266875,0.115213176875
"116",116,3.50011042077596,85.52558,-2.7003225,-2.89719,-3.5882,0.471052458333333,19.094075,32.3212,303.284,3.149525,0.0750641277083333,0.711710716919546,0.184080340799798,0.1846995625,0.309481640300631,0.000136791631458333,0.00197423298958333,0.07018571125,22.7284975,22.081301875,5.14351600577437,3.23604104166667,3.972978125,2.1213105,0.451011333333333,0.811254729166667,0.223661025647917,1.63885770833333,2.34927708333333,1.72187166666667,0.368370958333333,0.516392520833333,0.115236544166667
"117",117,4.00804403689811,85.61464,-2.7033125,-2.8992775,-3.558935,0.470160270833333,19.02125,32.0744,301.71775,2.477135,0.0739934645833333,0.583852190677785,0.184073196227901,0.1846844375,0.309480329869513,-0.000196895172916667,0.00149155041666667,0.0700226245833333,22.7031754166667,22.0626210416667,5.139851216035,3.24117916666667,3.96558229166667,2.132125875,0.441703208333333,0.798012270833333,0.219194016427083,1.64027958333333,2.34961375,1.720645625,0.368280979166667,0.516460583333333,0.115258404791667
"118",118,3.73328834198973,85.60662,-2.7051175,-2.900765,-3.5645175,0.468988854166667,18.9727,31.832325,300.18,2.834665,0.0778721594583333,0.656772178589041,0.184063495876234,0.184669979166667,0.309478985497131,0.00119496665625,0.00258655775833333,0.0715029678333333,22.6779058333333,22.0437320833333,5.1360947590875,3.246361875,3.95821479166667,2.14244122916667,0.43268625,0.784961895833333,0.2147320543625,1.63759229166667,2.34979208333333,1.71952916666667,0.368192666666667,0.5165278125,0.115279442916667
"119",119,3.43799992149701,85.65538,-2.7046175,-2.9055775,-3.53959,0.468694583333333,18.93705,31.6087,298.6555,3.07481,0.0756750225,0.651486630469322,0.184062393865621,0.184658875,0.30947762469043,-0.00057804875,0.0006875108125,0.0727248233333333,22.6524535416667,22.0246729166667,5.13233226076437,3.25140291666667,3.95103583333333,2.15284627083333,0.423926875,0.772071145833333,0.2102671275875,1.632249375,2.34989104166667,1.71846833333333,0.368103854166667,0.516595270833333,0.11530095
