"","DAY","DCAN (kPa)","PLC","YSOIL (MPa)","YPD (MPa)","YMD (MPa)","ECRIT (mmol m-2 s-1)","Leaf NSC (gC m-2)","Stem NSC (gC m-2)","Root NSC (gC m-2)","GS (mmol m-2 s-1)","EC (mmol m-2 s-1)","GPP (mmol m-2 s-1)","SMshall","SMdeep","SMrock","RHIZFshall (mmol m-2 s-1)","RHIZFdeep (mmol m-2 s-1)","RHIZFrock (mmol m-2 s-1)","FinRootCshall (gC m-2 grd)","FinRootCdeep (gC m-2 grd)","FinRootCrock (gC m-2 grd)","MicrobNshall (gN m-2 grd)","MicrobNdeep (gN m-2 grd)","MicrobNrock (gN m-2 grd)","LitterNshall (gN m-2 grd)","LitterNdeep (gN m-2 grd)","LitterNrock (gN m-2 grd)","PlantN (gN m-2 grd)","LAI (m2 m-2)","RLA (m2 m-2)","RA shall (m2 m-2","RA deep (m2 m-2)","RA rock (m2 m-2)"
"72",72,1.81466330135141,76.87076,-2.3223,-2.3257,-3.19876,0.7015796875,19.3181,38.4247,359.524,10.019665,0.1248268829375,1.94952918139872,0.206846353527167,0.1849370625,0.300088679445679,0.19449370909375,-0.0826260053125,0.000111285052291667,25.4724075,25.0284520833333,0.1195183732625,3.88236833333333,4.96966520833333,1.07882008333333,0.932886395833333,1.73403020833333,0.08424084710625,1.371240625,2.258831875,1.73921958333333,0.415811395833333,0.571164625,0.013023931875
"73",73,1.04724074514906,74.22044,-2.3120525,-2.3021375,-2.82468,0.705318229166667,20.52815,38.666025,357.92975,11.5044675,0.0827691290208333,1.79898337335553,0.202610499781234,0.18547375,0.300133724213113,0.119772853333333,-0.0580822384583333,0.00010864590375,25.4673079166667,25.02026625,0.12379673099375,3.86789229166667,4.94639208333333,1.06193952083333,0.923303291666667,1.70324833333333,0.0843703916729167,1.40090416666667,2.260343125,1.73787770833333,0.4157974375,0.571121958333333,0.0130806079166667
"74",74,1.05542698645944,76.56938,-2.2595675,-2.26553,-2.934875,0.718111270833333,21.230175,39.033925,356.456,14.1889,0.0810066060625,2.12815106006329,0.20021187726455,0.185944083333333,0.300191487919158,0.122824399604167,-0.0738796937708333,0.0001280554706875,25.4648514583333,25.01317,0.12934519898125,3.85150666666667,4.9239525,1.045392625,0.915988708333333,1.67346166666667,0.0844968956020833,1.42414270833333,2.26096541666667,1.73733020833333,0.415789895833333,0.571057270833333,0.0131528441666667
"75",75,0.672298397137108,73.5966,-2.20796,-2.22984,-2.587885,0.73433025,21.5822,39.527275,355.0775,13.651775,0.0304243079852083,0.402014225694671,0.198861107273524,0.186408604166667,0.300253208027449,0.049212025398125,-0.0479057763870833,9.47049315768958e-05,25.462935625,25.0062858333333,0.135212972008333,3.83423395833333,4.90327458333333,1.02916279166667,0.9097150625,1.64475416666667,0.0846209625395833,1.44050625,2.26122208333333,1.73710083333333,0.415783125,0.570986479166667,0.013230545
"76",76,1.19810498122723,77.10714,-2.197255,-2.16379,-2.872595,0.742690333333333,22.12615,39.79645,353.88075,12.144475,0.0971062608333333,2.16460211669177,0.197496565044487,0.1867529375,0.300286075877718,0.130900389604167,-0.0471332570416667,9.2279325e-05,25.4582233333333,24.9968035416667,0.13847748553125,3.81616895833333,4.88282458333333,1.01331375,0.904315270833333,1.61716666666667,0.0847426734458333,1.44798104166667,2.26132104166667,1.736793125,0.415782291666667,0.570943770833333,0.0132739191666667
"77",77,2.03805317414621,78.99148,-2.2518025,-2.187945,-3.3129125,0.727005354166667,23.108,40.237475,352.7045,9.2780325,0.132369234166667,1.83090819409832,0.193859285802498,0.1869950625,0.30034623746112,0.1399961311875,-0.0143554563791667,0.000100675941708333,25.4562635416667,24.98983625,0.144357027160417,3.800669375,4.86309104166667,0.997737479166667,0.896937541666667,1.59061645833333,0.0848616436520833,1.45880875,2.26137041666667,1.73672604166667,0.415776479166667,0.570872416666667,0.0133511558333333
"78",78,2.08152161530965,79.83242,-2.3775025,-2.324215,-3.2659,0.675688666666667,23.416625,40.706625,351.66675,7.832205,0.112530390229167,1.53179560094054,0.190437892908666,0.186990708333333,0.300376539428486,0.0958694010416667,0.0151037035416667,9.50899733125e-05,25.447325,24.9798979166667,0.147317493547917,3.78772,4.84372166666667,0.982489270833333,0.887465479166667,1.56496604166667,0.0849778623979167,1.46403958333333,2.26139,1.73639333333333,0.4157509375,0.570856333333333,0.0133927291666667
"79",79,2.50484396784355,80.84666,-2.50195,-2.44787,-3.354615,0.621882854166667,23.499125,41.06835,350.745,5.8114075,0.1023973745625,1.21635818688098,0.188232317590555,0.186821708333333,0.300395648584948,0.068807702625,0.03180572725,0.00010339086675,25.4341847916667,24.968775625,0.14921374280625,3.776239375,4.82467166666667,0.967576520833333,0.876670958333333,1.54009333333333,0.0850911212208333,1.46613416666667,2.26139020833333,1.735923125,0.415706291666667,0.570872520833333,0.0134211079166667
"80",80,2.40642292054301,81.70964,-2.6251725,-2.6127525,-3.3949825,0.57097275,23.405625,41.272425,349.88225,5.40216,0.0866822535416667,1.12235753355401,0.186701699635086,0.186553645833333,0.300410265191768,0.0453470532083333,0.0405116195208333,0.000112079536875,25.4183666666667,24.9570214583333,0.15067934984375,3.766331875,4.80648583333333,0.952985583333333,0.864540854166667,1.51576770833333,0.08520054935,1.46718333333333,2.2614,1.735373125,0.415647833333333,0.57090775,0.0134444654166667
"81",81,2.26538351368585,82.41568,-2.7295225,-2.751545,-3.5898075,0.5257523125,23.4119,41.36625,349.0785,5.87045,0.0927154427083333,1.18073121937697,0.185648607704797,0.1862115,0.300424487598711,0.0380443568125,0.05426598,0.000115971558716667,25.40309375,24.944925625,0.152126274822917,3.75537583333333,4.78920666666667,0.938722958333333,0.853593833333333,1.49178625,0.0853051255354167,1.467488125,2.2614,1.73482666666667,0.4155944375,0.570938145833333,0.0134674477083333
